"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LRP4-AS1",0,2.81192220665645,0.518,0.099,0,"Osteoblasts","LRP4-AS1"
"TEX41",0,1.6197801619101,0.796,0.406,0,"Osteoblasts","TEX41"
"LINC01060",0,3.09392726164112,0.312,0.058,0,"Osteoblasts","LINC01060"
"MIR181A1HG",3.10591110281578e-281,2.5188326325477,0.423,0.121,6.98208815912987e-278,"Osteoblasts","MIR181A1HG"
"TBX2-AS1",2.48839035409217e-222,2.22910880924362,0.255,0.053,5.5939015159992e-219,"Osteoblasts","TBX2-AS1"
"SNHG8",2.72300422691197e-222,1.38900952542493,0.709,0.397,6.12131350209811e-219,"Osteoblasts","SNHG8"
"SENCR",5.65531234357189e-144,2.61709686031736,0.134,0.023,1.27131421483496e-140,"Osteoblasts","SENCR"
"PCDH9-AS2",4.62524278944474e-126,1.62686990571794,0.312,0.115,1.03975457906718e-122,"Osteoblasts","PCDH9-AS2"
"SPRY4-AS1",9.62089621566133e-116,2.20523453152338,0.191,0.054,2.16277746928067e-112,"Osteoblasts","SPRY4-AS1"
"LMO7-AS1",9.40447671559189e-115,1.34249728823545,0.32,0.125,2.11412636566506e-111,"Osteoblasts","LMO7-AS1"
"ZFAS1",2.74096918515469e-109,0.611232137671332,0.905,0.79,6.16169872822775e-106,"Osteoblasts","ZFAS1"
"DIO3OS",1.15936625710994e-90,1.27136547397886,0.37,0.182,2.60625534598314e-87,"Osteoblasts","DIO3OS"
"SPATA13",3.31188046980457e-88,1.68586814654504,0.204,0.071,7.44510729612067e-85,"Osteoblasts","SPATA13"
"EPB41L4A-AS1",8.46427916733232e-85,1.02257949920322,0.479,0.281,1.9027699568163e-81,"Osteoblasts","EPB41L4A-AS1"
"ADAMTS9-AS2",2.08629827761855e-74,0.519807199158834,0.889,0.718,4.6899985280865e-71,"Osteoblasts","ADAMTS9-AS2"
"ZFHX4-AS1",9.29705965981556e-64,0.878377663046623,0.321,0.161,2.08997901152654e-60,"Osteoblasts","ZFHX4-AS1"
"LINC02328",6.67619807857344e-61,0.860560509468174,0.553,0.377,1.50080932806331e-57,"Osteoblasts","LINC02328"
